true_label,original_sent,noisy_label
0,"We succeeded in increasing our market share of sold apartment '' , comments Mr Kari Kauniskangas , Head of YIT International Construction Services .",0
2,"Cramo , headquartered in Vantaa , Finland , rents construction machinery and equipment , as well as rents and sells modular space .",2
0,"International sales rose by 59.8 % to EUR 1,244.4 mn .",0
0,"The Finnish government announced Wednesday that it sold a 32 percent stake in chemicals and fertilizer group Kemira Oyj for (  x20ac ) 655.6 million ( $ 890US million ) , sending the company 's share price up 6 percent .",0
2,"The report profiles 614 companies including many key and niche players worldwide such as Black & Decker Corporation , Fiskars Corporation , Fiskars Brands , Inc. , Husqvarna Outdoor Products Inc. , K+S Group , Ryobi Technologies , Inc. , The Scotts Miracle-Gro Company , and Van Group , Inc. .",2
2,"Before FKI , John Jiang has worked in several general manager or senior business consultant positions for international companies in China .",2
2,"U.S.-based T Corp. is in talks with Scandinavian telecoms company TeliaSonera to sell its stake in Uzbek cellular operator Coscom , an executive at Coscom told Interfax .",2
1,"Operating loss totalled EUR 5.2 mn , compared to a loss of EUR 3.4 mn in the corresponding period in 2008-2009 .",1
0,Stora Enso 's third-quarter pre-tax profit doubled to EUR 197mn .,0
0,`` The combined activities will create value for shareholders and be good for our employees and customers .,0
1,Finnish media company Talentum Oyj 's net profit decreased to 2.5 mln euro ( $ 4.0 mln ) for the first quarter of 2008 from 3.0 mln euro ( $ 4.7 mln ) for the same period of 2007 .,1
0,"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 .",0
2,"Among the Scandinavian companies present in St. Petersburg , is also named the Swedish concern NCC , which implements projects in the field of asphalt production , road and housing construction ( project Swedish Krona ) .",2
0,Profit for the period increased from EUR 2.9 mn to EUR 10.5 mn .,0
1,Sanoma News ' advertising sales decreased by 22 % during the year .,1
2,Mr. Koistinen joins from Nokia Siemens Networks where he has held various senior sales management and business development positions since 1997 .,2
2,"Following the issue , the new shares will constitute 10 percent of the firm 's capital .",2
0,Earnings per share EPS rose to EUR 0.11 from EUR 0.03 .,0
2,"The deal covers Stockmann Auto Oy Ab 's sales and after-sales services concerning Volkswagen and Audi in Helsinki , Espoo and Vantaa .",2
2,"Oka specialises in new construction , renovation work of residential and non-residential building as well as premises for industrial and logistical use .",2
2,The terms of the transactions remained undisclosed .,2
2,Niklas Skogster has been employed by the ABB Group in various positions concerning the development of operations .,2
1,Okmetic expects its net sales for the first half of 2009 to be less than in 2008 .,1
1,"In July-September 2009 , Konecranes ' sales decreased to EUR 368.7 mn from EUR 520.4 mn in July-September 2008 .",1
2,"The value of the contract is about EUR1 .0 m. Poyry , headquartered in Vantaa , Finland provides consulting and engineering services to the energy , forestry and infrastructure & environment sectors .",2
1,Orion 's net profit for the third quarter of 2007 decreased to 36.5 mln euro ( $ 52.1 mln ) from 40.3 mln euro ( $ 57.5 mln ) a year earlier .,1
0,The EPS outlook was increased by 5.6 pct for 2007 and 7.0 pct for 2008 .,0
2,"Aldata Solution Oyj Bertrand Sciard President and CEO Further information : Aldata Solution Oyj , Bertrand Sciard , President and CEO , tel. +33 1 46 48 28 00 Aldata 100 % Retail-Wholesale At Aldata 100 % of our business is dedicated to retail and wholesale business improvement .",2
1,"Operating loss of the Pulp & Paper Machinery unit was over EUR 3mn in September 2007 - August 2008 , compared to a profit of EUR 3.7 mn a year earlier .",1
0,Turnover rose to EUR21m from EUR17m .,0
2,"Under a preliminary estimation , the technology park will measure about 50,000 square meters .",2
2,"Some 3.8 mln euro ( $ 5.2 mln ) of the base acquisition price will be paid in cash and the rest through a subscription offering of a total of 850,000 new Ixonos shares .",2
0,"Both operating profit and net sales for the six-month period increased , respectively , from EUR13 .8 m and EUR143 .6 m , as compared to the corresponding period in 2007 .",0
1,"Finnair 's Tallinn-based subsidiary , Aero AS , carried 23,335 passengers , a decline of 60.8 % , on routes between Helsinki and the Baltic capitals and within Southern Finland .",1
2,Another firm Air Liquide was exempted because it left the market in 1998 .,2
2,Delivery is expected to take place later this month .,2
0,15 December 2010 - Finnish-German telecoms equipment maker Nokia Siemens Networks said today it won a contract to upgrade the radio network of home-based telecommunications company Elisa Oyj HEL : ELI1V .,2
0,Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,0
0,The company anticipates its turnover for the whole 2010 to surpass that of the previous year when it was EUR 67.1 million .,0
2,"A data processing unit collects the data , calculates RVR values and provides the data to users via various interfaces .",2
2,The project also implies an underground parking lot for 56 vehicles .,2
2,Competition authorities will have to approve the deal before it can be finalized .,2
2,Latvia 's Stockmann shopping mall is a subsidiary of Finland 's Stockmann Plc. .,2
2,The bond has a value of EUR150m and a maturity of 4 years .,2
2,"The company generates net sales of about 600 mln euro $ 775.5 mln annually and employs 6,000 .",2
1,Sales at the unit slumped last year after the industry was hit by poor snowfall in the major resorts in the winter of 2006-07 .,1
2,"The Group 's turnover in 2006 was EUR 39.2 million , and operating profit was EUR 3.9 million .",2
2,Aspo 's Group structure and business operations are continually developed without any predefined schedules .,2
2,This organization will assume the responsibility for operations in Russia .,2
1,The net sales of the whole fiscal year 2008 will be lower than in 2007 and operating profit is estimated to be negative .,1
1,Operating profit fell to EUR 15.1 mn from EUR 24.6 mn in 2006 .,1
2,Alfa group will have 43.9 % of voting stock in the new company and Telenor 35.4 % with a free float of 20.7 % .,2
2,"Estonia 's Agriculture Minister Helir-Valdor Seeder is in Finland on a two-day visit , in the course of which he will meet with his Finnish counterpart Sirkka-Liisa Anttila .",2
2,"Aldata Solution , a global company engaged in supplier to consumer business process optimization , has announced the details of its Dollars for Dinosaurs program .",2
0,"As part of the transaction , M-real and Sappi have also signed a long-term agreement on the supply of pulp and BCTMP and other smaller services and supplies .",2
2,"Headquartered in this city , the company is nearly 75 years old and focuses on science-based innovation and technology for environmental measurement .",2
2,This release is not an offer of securities for sale into the United States or elsewhere .,2
0,"OUTOTEC OYJ PRESS RELEASE , FEBRUARY 19 , 2008 AT 11.00 AM Outotec has won two large minerals processing technology orders from Mirabela Mineracao do Brasil Ltda , Brazil and from Cumerio Med JSCo , Bulgaria .",0
2,"The scheme for TeliaSonera and Altimo is practically identical , except that it involves the merger of their stakes in VimpelCom and Kyivstar .",2
2,"The aim of the CEO 's Q&A sessions is to give further clarity on information , which has been made public already earlier .",2
2,"The Web-Marela application handles invitations to quote , quote comparisons , agreements , purchases , invoice inspections , inventory management , and deliveries .",2
2,No decision on such sale of the now issued or existing treasury shares to YA Global has been made yet .,2
0,First quarter underlying operating profit rose to 41 mln eur from 33 mln a year earlier .,0
2,The total value of these two contracts is over EUR 21 million .,2
2,"The value of the order is EUR 700,000 .",2
2,The value of the three-year contract is estimated at EUR40m .,2
2,The customers will have an access to integrated propeller and gear packages from one source .,2
0,"The restructuring creates a more efficient organization with increased operational focus and stable profitability , and leads to more efficient production , said Bo Annvik , head of Specialty Stainless .",0
2,The combined company had pro-forma net sales of 140 mln euro $ 188.9 mln and an operating profit of 13 mln euro $ 17.5 mln for 2006 .,2
2,"The Company operates through four principal divisions : Consumer Packaging ; Office Papers ; Speciality Papers , as well as Market Pulp and Energy .",2
0,Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,0
0,The growth of net sales has continued favourably in the Middle East and Africaand in Asia Pacific .,0
2,The value of the order is around EUR 100 million .,2
0,Affecto expects its net sales for the whole 2010 to increase from the 2009 level when they reached EUR 103 million .,0
1,"Sales in Finland decreased by 2.0 % , and international sales decreased by 9.3 % in terms of euros , and by 15.1 % in terms of local currencies .",1
2,"According to business media reports , Usmanov planned to transfer his MegaFon stake to the state-controlled Svyazinvest , in exchange for a stake in the merged RosTelecom .",2
0,These measures are expected to produce annual cost savings of EUR 1.5 million starting in 2007 .,0
2,"The business area has operations in Finland , Sweden , Denmark , Estonia , Latvia and Lithuania .",2
2,"A maximum of 666,104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan .",2
0,"Both operating profit and net sales for the nine-month period increased , respectively by 26.6 % and 3.4 % , as compared to the corresponding period in 2006 .",0
2,Valmet Automotive reports net sales of EUR 85mn and operating profit of EUR 8mn .,2
2,"The interim report for the first quarter is published on May 8 , 2009 .",2
0,"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",0
2,"The store is located in Poznan in a shopping center named Pestka , the company added .",2
2,Upon completion of the sale Proha would get some USD12 .7 m for its stake in Artemis .,2
2,The company then said it will focus its resources on clinical research .,2
1,Finnish waste management and cleaning group Lassila & Tikanoja Oyj ( L&T ) net profit went down to 32.2 mln euro ( $ 47.7 mln ) for 2007 from 35.3 mln euro ( $ 52.3 mln ) for 2006 .,1
2,Registration is required .,2
2,"He joins Technopolis from KONE where he has held various positions within the Group , most recently as Director of Service Business and Business Development for KONE s Middle Eastern operations .",2
2,"Shareholder 's full name and ID code : - Petri Ailus , born 15.9.1966 For further information , please contact Isto Hantila , CEO , tel. +358 9 591 8342 .",2
0,Finnish Bank of +àland 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .,0
2,"The market share of Volkswagen passenger cars in Finland was 10.1 percent , Audi had a market share of 3.1 percent and Seat 's share was 0.9 percent .",2
2,"The redesigned crushing circuit has been in operation since the start of September and its overall production rate on a weekly basis is in excess of an average of 40,000 tonnes a day .",2
0,Operating profit rose to EUR2 .4 m from EUR1 .6 m year earlier .,0
2,"In addition , the company is considering the start of production in Russia .",2
1,"Seven-month sales of Ragutis , which is controlled by the Finnish brewery Olvi , declined by 11.2 percent , to 15.41 million liters , and the company held 9.89 percent of the market .",1
2,Amanda Capital has investments in 22 private equity funds and in over 200 unquoted companies mainly in Europe .,2
2,"Jeder Beta-Tester erh+ñlt kostenlos sechs Monate lang Updates und hat laut eigener Aussage die M+Âglichkeit , die finale Version zu beeinflussen .",2
2,"These new units will be built at Cargotec 's state of the art manufacturing facility in San Antonio , Texas , USA , which started operations in 2009 .",2
1,"- Demand for fireplace products was lower than expected , especially in Germany .",1
2,"- The Group -¦ s cumulative sales during the review period were EUR 48.2 million EUR 53.1 million , 1-9/2007 and profit before taxes was EUR 1.2 1.4 million .",2
2,"Stora Enso 's business in North America has annual capacity of about 3 million tons and employs about 4,350 people .",2
1,"In January-June 2010 , diluted loss per share stood at EUR0 .3 versus EUR0 .1 in the first half of 2009 .",1
0,"Both operating profit and net sales for the 12-month period increased , respectively from EUR20 .8 m and EUR177 .7 m , as compared to the financial year 2004 .",0
2,Why not subscribe to the magazine ?,2
2,"The company offers payroll services , including payroll processing , payroll tax administration , and employee pay services , including direct deposit , check signing , and Readychex .",2
2,"Cardona slowed her vehicle , turned around and returned to the intersection , where she called 911 .",2
0,Net interest income increased by 4.5 % to EUR 31.4 mn from EUR 30.0 mn in 2004 .,0
2,"Igor and Oleg Yankov , who currently manage Moron and Vitim , will hold onto the 25 % stake for now .",2
2,"Lemminkainen Infra Oy 's subsidiary Lemminkainen Sverige AB will perform the construction work , which is expected to start in early 2011 and to be completed in the summer of 2013 .",2
2,"The new majority owners of Aspocomp Thailand Co. , Ltd are certain private persons belonging to immediate circle of Aspocomp 's present Joint Venture partner , Saha Pathana Inter-Holding Plc. .",2
0,"Operating profit was EUR 24.5 mn , up from EUR 23.0 mn .",0
2,The value of the orders is about EUR 70mn .,2
0,"The disposal of Autotank will also strengthen Aspo 's capital structure , '' commented Gustav Nyberg , CEO of Aspo .",0
